ITTER107,Territorio,TIPO_DATO_FOL,Tipo dato,SEXISTAT1,Sesso,ETA1,Classe di età,TITOLO_STUDIO,Titolo di studio,TIME,Seleziona periodo,Value,Flag Codes,Flags
IT,Italia,POP_15,popolazione 15 anni e oltre (migliaia),1,maschi,Y_GE15,15 anni e più,3,"licenza di scuola elementare, nessun titolo di studio",2019,2019,3165.895,,
IT,Italia,POP_15,popolazione 15 anni e oltre (migliaia),1,maschi,Y_GE15,15 anni e più,3,"licenza di scuola elementare, nessun titolo di studio",2019-Q1,T1-2019,3211.849,,
IT,Italia,POP_15,popolazione 15 anni e oltre (migliaia),1,maschi,Y_GE15,15 anni e più,3,"licenza di scuola elementare, nessun titolo di studio",2019-Q2,T2-2019,3179.996,,
IT,Italia,POP_15,popolazione 15 anni e oltre (migliaia),1,maschi,Y_GE15,15 anni e più,3,"licenza di scuola elementare, nessun titolo di studio",2019-Q4,T4-2019,3113.926,,
IT,Italia,POP_15,popolazione 15 anni e oltre (migliaia),1,maschi,Y_GE15,15 anni e più,3,"licenza di scuola elementare, nessun titolo di studio",2019-Q3,T3-2019,3157.808,,
IT,Italia,POP_15,popolazione 15 anni e oltre (migliaia),1,maschi,Y_GE15,15 anni e più,3,"licenza di scuola elementare, nessun titolo di studio",2020,2020,3094.241,,
IT,Italia,POP_15,popolazione 15 anni e oltre (migliaia),1,maschi,Y_GE15,15 anni e più,3,"licenza di scuola elementare, nessun titolo di studio",2020-Q2,T2-2020,3190.931,,
IT,Italia,POP_15,popolazione 15 anni e oltre (migliaia),1,maschi,Y_GE15,15 anni e più,3,"licenza di scuola elementare, nessun titolo di studio",2020-Q1,T1-2020,3047.714,,
IT,Italia,POP_15,popolazione 15 anni e oltre (migliaia),1,maschi,Y_GE15,15 anni e più,3,"licenza di scuola elementare, nessun titolo di studio",2020-Q3,T3-2020,3191.056,,
IT,Italia,POP_15,popolazione 15 anni e oltre (migliaia),1,maschi,Y_GE15,15 anni e più,3,"licenza di scuola elementare, nessun titolo di studio",2020-Q4,T4-2020,2947.261,,
IT,Italia,POP_15,popolazione 15 anni e oltre (migliaia),1,maschi,Y_GE15,15 anni e più,4,licenza di scuola media,2019,2019,8930.636,,
IT,Italia,POP_15,popolazione 15 anni e oltre (migliaia),1,maschi,Y_GE15,15 anni e più,4,licenza di scuola media,2019-Q1,T1-2019,8964.539,,
IT,Italia,POP_15,popolazione 15 anni e oltre (migliaia),1,maschi,Y_GE15,15 anni e più,4,licenza di scuola media,2019-Q2,T2-2019,8935.919,,
IT,Italia,POP_15,popolazione 15 anni e oltre (migliaia),1,maschi,Y_GE15,15 anni e più,4,licenza di scuola media,2019-Q4,T4-2019,8959.255,,
IT,Italia,POP_15,popolazione 15 anni e oltre (migliaia),1,maschi,Y_GE15,15 anni e più,4,licenza di scuola media,2019-Q3,T3-2019,8862.83,,
IT,Italia,POP_15,popolazione 15 anni e oltre (migliaia),1,maschi,Y_GE15,15 anni e più,4,licenza di scuola media,2020,2020,8853.371,,
IT,Italia,POP_15,popolazione 15 anni e oltre (migliaia),1,maschi,Y_GE15,15 anni e più,4,licenza di scuola media,2020-Q2,T2-2020,8952.327,,
IT,Italia,POP_15,popolazione 15 anni e oltre (migliaia),1,maschi,Y_GE15,15 anni e più,4,licenza di scuola media,2020-Q1,T1-2020,8893.699,,
IT,Italia,POP_15,popolazione 15 anni e oltre (migliaia),1,maschi,Y_GE15,15 anni e più,4,licenza di scuola media,2020-Q3,T3-2020,8784.076,,
IT,Italia,POP_15,popolazione 15 anni e oltre (migliaia),1,maschi,Y_GE15,15 anni e più,4,licenza di scuola media,2020-Q4,T4-2020,8783.382,,
IT,Italia,POP_15,popolazione 15 anni e oltre (migliaia),1,maschi,Y_GE15,15 anni e più,5,diploma 2-3 anni (qualifica professionale),2019,2019,1470.953,,
